ds,yhat,yhat_lower,yhat_upper
2015-01-02 07:20:00,24488.723585275286,19376.54248562934,29559.22350383597
2015-01-02 07:30:00,24880.787584386533,19487.11820527785,29841.07971460057
2015-01-02 07:40:00,25275.89272923931,19910.67401684175,30579.97252665709
2015-01-02 07:50:00,25670.73118854717,20146.54770409045,30636.256276922773
2015-01-02 08:00:00,26062.023612059707,21084.97995793491,31147.989178937238
2015-01-02 08:10:00,26446.582936370018,20915.253238453348,31862.25707155211
2015-01-02 08:20:00,26821.375752024847,21311.049412752975,32318.482350649803
2015-01-02 08:30:00,27183.579512245,21737.290115899334,31899.755536110773
2015-01-02 08:40:00,27530.633986932942,22246.453388931022,32971.83585484991
2015-01-02 08:50:00,27860.285543630256,22554.98709498143,33191.21999132382
2015-01-02 09:00:00,28170.623058435925,23039.309836175704,33552.14990709682
2015-01-02 09:10:00,28460.104519741868,23091.000683960294,33715.193664293416
2015-01-02 09:20:00,28727.573668480014,23639.25090917815,33897.87487984111
2015-01-02 09:30:00,28972.26632502529,23903.849957077397,34591.73579083065
2015-01-02 09:40:00,29193.806370447364,23794.89968778127,34821.677429291216
2015-01-02 09:50:00,29392.191658483534,23934.04827096814,34297.236956204164
2015-01-02 10:00:00,29567.77044565349,24438.12992871712,35035.20311599153
2015-01-02 10:10:00,29721.209209353383,24909.041645894078,34785.11829196165
2015-01-02 10:20:00,29853.452982156603,24453.179181709704,35218.87718158779
2015-01-02 10:30:00,29965.67955226382,24726.93161188181,34957.247826882995
2015-01-02 10:40:00,30059.249060672755,24417.137619277415,35338.55105965332
2015-01-02 10:50:00,30135.650653124652,24815.706631738787,35173.99278063392
2015-01-02 11:00:00,30196.44792488521,25145.653787857984,35324.74200756518
2015-01-02 11:10:00,30243.22491902431,24902.77095439118,35249.35699938013
2015-01-02 11:20:00,30277.53440489122,25204.666802019605,35873.01985190397
2015-01-02 11:30:00,30300.85007832041,24818.491318503082,35333.07897229609
2015-01-02 11:40:00,30314.524183962225,25281.449976680367,35466.64606250217
2015-01-02 11:50:00,30319.751874276506,25427.45146146804,35261.93274933478
2015-01-02 12:00:00,30317.543391476313,25186.135809612555,35454.718792148786
2015-01-02 12:10:00,30308.704895482355,25163.66771959105,35800.88060353039
2015-01-02 12:20:00,30293.82847112752,25026.486896531405,35300.76381826021
2015-01-02 12:30:00,30273.291542703955,25122.94570140927,35507.77262752686
2015-01-02 12:40:00,30247.26560809073,25196.380486670154,35624.735684533654
2015-01-02 12:50:00,30215.733894129397,24865.429108258748,35567.04695034213
2015-01-02 13:00:00,30178.51723450759,25204.5819802864,35056.255804214066
2015-01-02 13:10:00,30135.307193211178,24686.62263872651,35130.63810966215
2015-01-02 13:20:00,30085.705208913983,24304.1305101282,35057.34159162519
2015-01-02 13:30:00,30029.26632683387,24389.94464938024,35207.87650106674
2015-01-02 13:40:00,29965.545919415297,24800.35226793258,35218.733480455936
2015-01-02 13:50:00,29894.147684229167,24802.457812754194,34920.119021906394
2015-01-02 14:00:00,29814.771148299104,24778.78757232026,35051.517710740496
2015-01-02 14:10:00,29727.256904487436,24185.4849509036,34819.63621137316
2015-01-02 14:20:00,29631.6278611846,24470.97450821463,34797.974907980184
2015-01-02 14:30:00,29528.124894912144,24564.933394424912,35019.21254728724
2015-01-02 14:40:00,29417.235459116433,24540.127924984645,34751.57944974384
2015-01-02 14:50:00,29299.71391163942,24249.766880554933,34339.06486369184
2015-01-02 15:00:00,29176.59257702052,23377.475029991052,34347.767244278366
2015-01-02 15:10:00,29049.182843550912,23934.2620837869,34405.2325593004
2015-01-02 15:20:00,28919.06590821254,23905.249659440055,33827.613020272904
2015-01-02 15:30:00,28788.073110268157,23509.817482491377,34337.27672731476
2015-01-02 15:40:00,28658.25612649029,23534.24684225354,34149.160162952176
2015-01-02 15:50:00,28531.84763284497,23423.53429649319,33405.87237748514
2015-01-02 16:00:00,28411.213349678685,22886.381478072817,33887.36097815227
2015-01-02 16:10:00,28298.7966813201,23371.96996936238,33465.02502958869
2015-01-02 16:20:00,28197.05741591824,23168.37251920654,33297.5464898144
2015-01-02 16:30:00,28108.406170502367,23063.196840084896,33351.86169740782
2015-01-02 16:40:00,28035.136431028503,23005.86152666487,33243.28362142826
2015-01-02 16:50:00,27979.35615312375,22893.20963391033,32921.61707893131
2015-01-02 17:00:00,27942.92094501429,22351.442354687704,33401.405977936025
2015-01-02 17:10:00,27927.370849060408,22755.414658398007,32741.302669706296
2015-01-02 17:20:00,27933.87267534678,22625.978292346863,33231.17205781486
2015-01-02 17:30:00,27963.16971590157,22665.32520664142,33242.90668727577
2015-01-02 17:40:00,28015.540489801366,22910.58394297588,33518.04714439998
2015-01-02 17:50:00,28090.76793873946,23094.575282121714,33253.32420320774
2015-01-02 18:00:00,28188.120217415686,23202.14511248699,33904.51358847472
2015-01-02 18:10:00,28306.343912483124,23219.37092091411,33817.59949334472
2015-01-02 18:20:00,28443.670183810616,23137.69062244147,33793.350906284315
2015-01-02 18:30:00,28597.83396444811,23226.009991277413,33529.24250153446
2015-01-02 18:40:00,28766.10599233979,23462.41426185126,33834.12095381433
2015-01-02 18:50:00,28945.337081901067,23917.09720615384,34130.41500229231
2015-01-02 19:00:00,29132.013700291263,24253.87156670061,34475.70645486334
2015-01-02 19:10:00,29322.32358431638,24275.19950636283,34309.23703595672
2015-01-02 19:20:00,29512.22984751586,23885.59612952836,34593.382767037845
2015-01-02 19:30:00,29697.55177511323,24399.81869341197,35359.048537666495
2015-01-02 19:40:00,29874.05030921193,24628.63301648688,35203.70719784147
2015-01-02 19:50:00,30037.51608108459,24616.23323386352,35275.00447116743
2015-01-02 20:00:00,30183.857764518543,24768.33793242319,35667.974140571096
2015-01-02 20:10:00,30309.18850519396,25094.137542129523,35699.9069265099
2015-01-02 20:20:00,30409.908220029673,24951.57665355262,35990.42014257486
2015-01-02 20:30:00,30482.779669787327,25582.405505656203,35841.40816228935
2015-01-02 20:40:00,30524.996367521828,25010.110481106643,35807.61755543269
2015-01-02 20:50:00,30534.240607527034,25112.780206127954,35600.08864436219
2015-01-02 21:00:00,30508.73016383501,25545.37456013471,35697.60528233838
2015-01-02 21:10:00,30447.25251646698,25224.473073943707,35605.326193675595
2015-01-02 21:20:00,30349.185801852644,25184.147420959536,35614.49709362024
2015-01-02 21:30:00,30214.50604519534,24767.12184025399,35509.13656418705
2015-01-02 21:40:00,30043.780605404405,25023.47246795639,35144.58057672539
2015-01-02 21:50:00,29838.148137291944,24658.110580295546,35314.96261030816
2015-01-02 22:00:00,29599.285736549467,24226.358761325955,34605.403995728084
2015-01-02 22:10:00,29329.36428007091,24416.505238993686,34585.07690297435
2015-01-02 22:20:00,29030.99328117106,23822.23245700127,34486.513092037225
2015-01-02 22:30:00,28707.156858809518,23589.966837212887,33952.68071142426
2015-01-02 22:40:00,28361.142639685673,22819.22948053815,33671.918253341006
2015-01-02 22:50:00,27996.46558860672,22514.054075139207,33592.6402226971
2015-01-02 23:00:00,27616.788875759405,22466.898406928532,33049.58034964735
